n_d,n_a,mask_type,lambda_sparse,n_steps,avg_cost
32,24,sparsemax,4.170412682747863e-05,4,1.3588129216670253
24,32,entmax,6.456222200947556e-05,5,1.351902708894574
16,16,entmax,0.0002818730927751101,5,1.345570567769772
16,8,sparsemax,0.00014611165098216575,3,1.3124736715513903
32,16,entmax,0.0001443653108296551,3,1.2735941146209913
24,32,sparsemax,2.2187861059779765e-05,4,1.302869832539487
24,32,sparsemax,0.0006785169882139379,5,1.5091914170283878
8,32,entmax,0.0004588994169432583,5,1.2936583449648755
24,32,entmax,4.5655003275591464e-05,4,1.3171641226547735
8,8,entmax,1.712907673321757e-05,3,1.3128615796128416
32,16,entmax,0.00015924773768202086,3,1.2890752856727494
32,16,entmax,0.00016013151393773914,3,1.2945837591527063
32,16,entmax,0.0002624215440167786,3,1.2749185693574956
32,24,entmax,0.0003283288073401007,3,1.2577824908685886
32,24,entmax,0.0009095294257788822,3,1.3281609482888368
32,24,entmax,0.0003771753801456173,4,1.3270869771214737
16,24,entmax,8.953592416161513e-05,3,1.328135361741339
24,8,entmax,0.0002094583185361284,4,1.2874684845376771
32,16,sparsemax,0.0005118158059697837,3,1.2859590365482405
24,24,entmax,9.461163551600632e-05,3,1.3853648226156965
